cnn.com,151.101.129.67
softonic.com,35.227.233.104
hp.com,15.72.228.83
mywebsearch.com,34.102.244.163
partypoker.com,195.72.134.91
walmart.com,161.170.232.170
zynga.com,13.225.55.111
ebay.de,66.135.196.249
youdao.com,103.72.47.248
imageshack.us,208.94.3.19
jp.msn.com,13.88.15.24
alipay.com,110.75.129.5
hotmail.com,204.79.197.212
craigslist.org,208.82.237.129
weather.com,104.68.234.219
360.cn,36.110.213.10
hotfile.com,18.207.9.28
alibaba.com,205.204.101.142
nifty.com,222.158.213.148
soku.com,106.11.47.19
odnoklassniki.ru,5.61.23.11
blogger.com,172.217.2.9
kugou.com,183.131.48.92
qiyi.com,111.206.13.64
pconline.com.cn,219.136.244.85
paipai.com,106.39.169.133
answers.com,151.101.0.203
rapidshare.com,0.0.0.0
mediafire.com,104.16.203.237
photobucket.com,143.204.190.113
2345.com,58.211.78.133
ehow.com,184.29.191.22
livedoor.jp,203.104.153.16
seesaa.net,59.106.98.142
bbc.co.uk,151.101.128.81
yandex.ru,5.255.255.55
renren.com,120.133.2.241
vkontakte.ru,87.240.190.78
cnet.com,35.190.79.82
myspace.com,63.135.90.70
megaupload.com,15.72.228.83
daum.net,203.133.167.81
skype.com,40.115.34.155
go.com,23.236.60.174
ifeng.com,123.103.122.24
orkut.com,216.239.36.21
flickr.com,65.8.237.125
naver.com,125.209.222.142
ameblo.jp,151.101.1.83
amazon.co.jp,52.119.168.48
linkedin.com,108.174.10.10
dailymotion.com,195.8.215.136
aol.com,98.136.103.23
amazon.com,176.32.103.205
goo.ne.jp,114.179.184.93
wordpress.com,192.0.78.9
imdb.com,52.94.228.167
apple.com,17.253.144.10
mail.ru,94.100.180.200
4shared.com,204.155.149.41
ebay.com,66.135.196.249
windows.com,104.215.148.63
tudou.com,106.11.43.71
4399.com,129.211.129.109
fc2.com,199.48.210.152
7k7k.com,157.185.175.102
paypal.com,64.4.250.36
yahoo.co.jp,183.79.135.206
tmall.com,140.205.130.99
about.com,151.101.2.137
ku6.com,117.50.1.222
facebook.com,157.240.28.35
hao123.com,106.120.159.68
youtube.com,172.217.12.14
xunlei.com,112.124.227.84
yahoo.com,74.6.231.21
live.com,204.79.197.212
wikipedia.org,208.80.153.224
msn.com,13.82.28.61
baidu.com,39.156.69.79
sohu.com,211.159.191.18
orkut.com.br,132.148.40.250
microsoft.com,40.112.72.205
blogspot.com,172.217.12.9
bing.com,204.79.197.200
taobao.com,140.205.94.189
163.com,123.58.180.7
ask.com,151.101.70.114
twitter.com,104.244.42.1
rakuten.co.jp,133.237.16.234
adobe.com,192.147.130.204
sogou.com,118.191.216.42
56.com,183.232.65.145
mozilla.com,63.245.208.194
youku.com,106.11.43.183
tianya.c,204.79.197.200
sdjjdsaf.com,40.112.72.205
qq.com,125.39.52.26
sina.com.cn,123.126.55.41
wmfo.org,23.92.21.128
andysayler.com,159.89.253.85
pps.tv,116.211.199.234
soso.com,118.191.216.57
tianya.cn,124.225.65.154
